elapsed_min,timestamp,kss_rating
0,2026-02-22T01:23:26.489957,7
15,2026-02-22T01:40:07.888266,6
30,2026-02-22T01:55:45.470672,6
45,2026-02-22T02:12:15.980819,6
60,2026-02-22T02:30:55.367426,7
60,2026-02-22T02:31:00.660238,7
