elapsed_min,timestamp,kss_rating
0,2026-02-21T15:20:35.876333,5
15,2026-02-21T15:37:17.832886,6
30,2026-02-21T15:51:14.186835,3
45,2026-02-21T16:07:37.048048,5
60,2026-02-21T16:21:37.682261,5
