elapsed_min,timestamp,kss_rating
0,2026-02-21T22:07:01.686494,6
15,2026-02-21T22:24:25.493666,6
30,2026-02-21T22:39:58.259610,6
45,2026-02-21T22:55:52.298835,5
60,2026-02-21T23:12:24.236168,6
