elapsed_min,timestamp,kss_rating
0,2026-02-22T01:05:50.059165,7
15,2026-02-22T01:24:50.695198,7
30,2026-02-22T01:40:10.309394,7
45,2026-02-22T01:55:27.547784,7
60,2026-02-22T02:12:20.324105,7
