velocity_mean,velocity_std,velocity_max,velocity_median,accel_mean,accel_std,accel_max,jerk_rms,jerk_std,jerk_max,path_efficiency,pause_count,pause_frequency,tremor_energy_ratio,spectral_entropy,direction_change_std,click_interval_mean,click_interval_cv,click_rate,label,participant,session_id,window_start_ms
213.21078763554283,581.5371400706426,7245.852592108442,46.15532975208635,2896.6482564453195,8225.254595368104,172362.7424040918,435300.36746063066,408165.72549864586,8718483.336235514,0.03950803244851597,2,4.0,2.0239166968711264e-05,0.5120267922179378,1.1484612948739306,1350.3333333333333,2.3396415763380847,44.0,Alert,eason02,20260221_152030,8314331.0
24.274340555219656,41.186216299523636,651.4178519082327,10.509318304630696,1065.0838274446282,2720.296723233245,59449.09317376009,278379.3703009247,259930.76098246995,5287964.640294982,0.37279432285388275,1,2.0,1.0052674783859135e-08,0.5005817729691867,1.3282803264881968,607.9142857142857,0.6049568450361383,72.0,Alert,eason02,20260221_152030,8329331.0
15.32772533769993,29.876909267970728,422.1330203052196,8.132830005682619,1062.7050157527915,2360.418123667885,39770.46802463789,244555.98841520317,223695.8396513866,3388833.079909901,0.0026879672727989196,2,4.0,6.40458138690899e-09,0.5005087399722272,1.4148085396545196,593.6734693877551,1.1263101864416227,100.0,Alert,eason02,20260221_152030,8344331.0
12.06853665456113,39.04452505866731,1030.7159429408641,3.9313592707421225,838.3479769313475,3140.9129414843987,94290.61174567351,306429.9434734895,296266.73564190755,8158845.153170752,0.006736953500956125,4,8.0,7.101952919079595e-09,0.5005025633052189,1.2838582898336157,483.3809523809524,0.9532060206709998,86.0,Alert,eason02,20260221_152030,8359331.0
115.28281422550464,659.9407744022106,8800.647612677434,2.6652036937277277,2576.778876892084,12682.060072409178,220693.79219719116,744190.7756031055,725690.4784676291,11715762.384729777,0.0005332573763427046,3,6.0,2.057998182249562e-05,0.5147284165911774,1.0990606110991328,1557.5263157894738,1.3418927202966515,40.0,Alert,eason02,20260221_152030,8374331.0
116.83913420419243,659.037501551752,8800.647612677434,5.502037148322016,2658.701891720288,12434.2807497139,220693.79219719116,708654.5054128963,687607.9562512725,11715762.384729777,0.0004708236264010905,1,2.0,6.449293339546276e-05,0.555412416785116,1.3588735814998119,736.925,1.840870947793339,82.0,Alert,eason02,20260221_152030,8389331.0
10.032961662374762,24.298282182306554,369.05774159488504,1.734083031170714,682.451617811273,1907.654053515579,35194.552510635374,192183.7775321491,181482.65536951745,3109669.105690328,0.00011557584398808087,1,2.0,6.0379975340378685e-09,0.5005332614086039,1.265099726065537,420.25,0.7456494072235269,74.0,Alert,eason02,20260221_152030,8404331.0
10.999403394122455,22.27944836465603,360.6933235709986,3.1865032666177924,726.7198126613027,1678.516477884795,34058.97464412584,171740.24977682592,158286.2361494817,3052624.426509721,0.004269620377223637,1,2.0,6.908599298026011e-09,0.5005395038219421,1.191931945273785,901.1212121212121,2.9676414928665302,68.0,Alert,eason02,20260221_152030,8419331.0
19.070842142936126,40.07177674109387,853.1065826465167,10.78593405365189,1296.251412825815,3186.0643913975996,81437.05483352725,324669.3805524492,301695.1251538224,7136677.325039858,0.003225651192173698,0,0.0,9.146215946053986e-09,0.5005437956507415,1.5137824858628324,432.6666666666667,0.6627150259530247,122.0,Alert,eason02,20260221_152030,8434331.0
13.938257951843518,38.220322714618156,853.1065826465167,4.972865424250589,941.9663351026442,3039.6891482565293,81437.05483352725,300156.9843751009,287167.1499007123,7136677.325039858,0.004784746884003711,1,2.0,1.326552779568796e-08,0.5005557069986621,1.4915870726090659,427.55555555555554,1.0633477999614311,110.0,Alert,eason02,20260221_152030,8449331.0
